Activo;Monto;Pasivo;Monto
Activo corriente;;Pasivo corriente;
Caja y Bancos (1);50000.0;Tributos por pagar (7);5000.0
Cuentas por cobrar (2);40000.0;Remuneraciones por pagar (8);10000.0
Mercaderías (3);90000.0;Cuentas por pagar (9);30000.0
Anticipo a proveedores (4);2000.0;Anticipo de clientes (10);1000.0
Total activo corriente;182000.0;Total pasivo corriente;46000.0
;;;
Activo no corriente;;Pasivo no corriente;
Inmuebles, maq y equip. (5);10000.0;Obligaciones financieras (11);35000.0
Depreciación acumulada (6);-1000.0;Total pasivo no corriente;35000.0
Total activo no corriente;9000.0;;
;;Total pasivo;81000.0
Total activo;191000.0;;
;;Patrimonio neto;
;;Capital social (12);30000.0
;;Utilidad del ejercicio (13);80000.0
;;Total patrimonio neto;110000.0
;;;
;;Total pasivo y patrimonio;191000.0
RESOLUCIÓN:;;;
;;;
1) Análisis Vertical del Balance;;;
Base Activos;=$B$14;;
Caja y Bancos (1);=$B$2/$B$14;;
Cuentas por cobrar (2);=$B$3/$B$14;;
Mercaderías (3);=$B$4/$B$14;;
Anticipo a proveedores (4);=$B$5/$B$14;;
Total activo corriente;=$B$6/$B$14;;
Inmuebles, maq y equip. (5);=$B$9/$B$14;;
Depreciación acumulada (6);=$B$10/$B$14;;
Total activo no corriente;=$B$11/$B$14;;
Total activo;=$B$14/$B$14;;
;;;
2) Análisis Vertical de Pasivo y Patrimonio;;;
Base Pasivo y Patrimonio;=$D$20;;
Tributos por pagar (7);=$D$2/$D$20;;
Remuneraciones por pagar (8);=$D$3/$D$20;;
Cuentas por pagar (9);=$D$4/$D$20;;
Anticipo de clientes (10);=$D$5/$D$20;;
Total pasivo corriente;=$D$6/$D$20;;
Obligaciones financieras (11);=$D$9/$D$20;;
Total pasivo no corriente;=$D$10/$D$20;;
Total pasivo;=$D$12/$D$20;;
Capital social (12);=$D$14/$D$20;;
Utilidad del ejercicio (13);=$D$15/$D$20;;
Total patrimonio neto;=$D$16/$D$20;;
Total pasivo y patrimonio;=$D$20/$D$20;;
;;;
3) Análisis Horizontal del Balance;* Requiere saldos comparativos del ejercicio anterior;;
