match_id,player_slot,radiant_win,win,duration,game_mode,lobby_type,hero_id,start_time,kills,deaths,assists,gold_per_min,xp_per_min,last_hits,denies,hero_damage,tower_damage,hero_healing,level,net_worth,obs_placed,sen_placed,kda_ratio,cs_per_min,denies_per_min,average_rank,leaver_status,party_size,hero_variant
8364702814,1,1,1,2991,22,7,79,2025-07-07 04:33:30,12,9,36,487,802,89,1,31502,1444,540,26,22190,0,0,5.333333333333333,1.785356068204614,0.020060180541624874,43,0,0,1
8361853819,130,1,0,3261,22,7,97,2025-07-05 05:54:51,5,8,19,483,824,269,5,23048,1448,0,27,21356,0,0,3.0,4.949402023919043,0.09199632014719411,41,0,0,4
8360530210,130,0,1,2877,22,7,129,2025-07-04 06:07:27,8,11,24,399,801,71,0,25504,926,0,26,17192,0,0,2.909090909090909,1.4807090719499478,0.0,54,0,0,2
8360480378,128,0,1,4315,22,7,84,2025-07-04 04:41:22,6,20,34,378,617,92,5,32677,777,125,27,23446,0,0,2.0,1.2792584009269987,0.06952491309385862,61,0,0,2
8360444733,1,0,0,2270,22,7,58,2025-07-04 03:39:02,6,10,8,332,555,68,4,25548,552,342,19,11696,0,0,1.4,1.7973568281938326,0.10572687224669602,44,0,0,1
8360340308,132,1,0,2163,22,7,58,2025-07-04 00:25:02,2,15,6,311,420,111,15,13963,413,595,16,5383,0,0,0.5333333333333333,3.079056865464633,0.41608876560332875,45,0,0,1
8358967132,131,1,0,2188,22,7,2,2025-07-02 21:00:04,13,17,17,450,545,119,3,33771,327,0,19,12865,0,0,1.7647058823529411,3.263254113345521,0.08226691042047532,45,0,0,2
8357987625,128,0,1,2262,22,7,111,2025-07-02 04:28:34,7,6,26,472,560,113,3,22388,3110,11877,19,16043,0,0,5.5,2.9973474801061006,0.07957559681697612,42,0,0,1
8355252638,130,0,1,1317,22,7,86,2025-06-29 22:32:29,7,4,23,484,497,73,2,21092,2280,0,14,10445,0,0,7.5,3.325740318906606,0.09111617312072894,44,0,0,2
8355206135,129,0,1,1843,22,7,76,2025-06-29 21:31:39,4,5,28,483,528,126,16,19039,3750,0,17,14531,0,0,6.4,4.102007596310364,0.5208898534997287,45,0,0,1
8355080692,129,1,0,3512,22,7,13,2025-06-29 19:29:58,8,10,25,511,785,293,3,31536,3829,0,27,24369,0,0,3.3,5.005694760820046,0.05125284738041003,45,0,0,1
8351209522,4,1,1,2557,22,7,42,2025-06-27 03:28:14,11,9,12,560,787,238,7,33005,6311,125,24,21957,0,0,2.5555555555555554,5.584669534610872,0.16425498631208446,35,0,0,1
8351186314,2,0,0,2086,22,7,11,2025-06-27 02:47:38,4,16,6,338,430,77,7,10955,89,0,16,9481,0,0,0.625,2.214765100671141,0.20134228187919465,35,0,0,2
8351132918,129,0,1,1845,22,7,111,2025-06-27 01:10:23,23,4,21,597,745,89,6,31617,2575,15230,20,17730,0,0,11.0,2.894308943089431,0.1951219512195122,41,0,0,1
8351105353,1,1,1,2177,22,7,14,2025-06-27 00:12:43,9,13,22,377,482,27,0,17507,1363,0,18,11893,0,0,2.3846153846153846,0.7441433164905834,0.0,44,0,0,1
8348751301,132,0,1,2470,22,7,14,2025-06-25 05:04:17,10,5,30,453,671,81,1,20317,1468,0,22,17744,0,0,8.0,1.9676113360323888,0.024291497975708502,41,0,0,1
8344625385,1,1,1,1969,22,7,106,2025-06-22 02:03:20,5,6,30,414,584,68,1,22716,3847,0,18,13107,0,0,5.833333333333333,2.07211782630777,0.030472320975114268,44,0,0,2
8341907724,129,1,0,2258,22,7,67,2025-06-20 03:57:21,7,10,15,448,679,106,5,22513,918,0,21,15933,0,0,2.2,2.816651904340124,0.1328609388839681,44,0,0,2
8341879533,1,0,0,2446,22,7,129,2025-06-20 03:07:16,8,12,18,392,539,88,3,22593,216,192,20,12330,0,0,2.1666666666666665,2.1586263286999183,0.07358953393295176,34,0,0,2
8341849170,4,1,1,2852,22,7,129,2025-06-20 02:12:01,7,13,28,535,870,226,10,31089,2263,0,26,21030,0,0,2.6923076923076925,4.754558204768584,0.2103786816269285,34,0,0,2
8340496717,0,1,1,1833,22,7,98,2025-06-18 23:56:19,14,5,14,588,671,145,5,30518,6766,0,19,16980,0,0,5.6,4.746317512274959,0.1636661211129296,44,0,0,1
8340466795,2,1,1,3020,22,7,15,2025-06-18 22:59:54,13,14,32,490,891,164,3,50215,2793,0,27,19250,0,0,3.2142857142857144,3.258278145695364,0.059602649006622516,42,0,0,1
8336730221,130,0,1,2997,22,7,129,2025-06-16 02:50:51,2,8,27,413,674,151,7,18964,691,0,24,18616,0,0,3.625,3.023023023023023,0.14014014014014015,42,0,0,2
8335328311,1,1,1,1863,22,7,129,2025-06-15 04:52:06,12,2,10,599,644,179,9,15238,9663,0,19,17643,0,0,11.0,5.764895330112721,0.2898550724637681,41,0,0,2
8335295804,131,0,1,2266,22,7,129,2025-06-15 04:07:27,10,2,25,613,860,210,11,22208,4426,0,24,21862,0,0,17.5,5.560458958517211,0.2912621359223301,35,0,0,2
8335255682,129,0,1,1979,22,7,129,2025-06-15 03:10:47,7,3,32,462,655,80,1,17171,2634,1503,20,14614,0,0,13.0,2.4254674077817078,0.03031834259727135,32,0,0,1
8333496782,129,1,0,2285,22,7,129,2025-06-13 20:28:57,9,3,13,436,566,198,14,24332,648,0,20,15585,0,0,7.333333333333333,5.199124726477024,0.3676148796498906,42,0,0,2
8331192218,128,1,0,2782,22,7,107,2025-06-12 05:03:39,8,8,14,419,523,170,9,31634,547,216,21,14748,0,0,2.75,3.6664270309130123,0.19410496046010065,44,0,0,1
8327296474,130,1,0,2562,22,7,97,2025-06-09 01:48:13,2,5,15,303,559,111,4,10494,304,0,21,10575,0,0,3.4,2.5995316159250583,0.09367681498829039,35,1,0,3
8327277203,130,1,0,1915,22,7,44,2025-06-09 01:11:13,1,14,4,319,339,140,6,8439,179,125,13,7741,0,0,0.35714285714285715,4.386422976501305,0.18798955613577023,41,0,0,3
8327255003,2,0,0,2295,22,7,48,2025-06-09 00:28:48,7,4,6,570,756,317,3,32374,348,0,23,20889,0,0,3.25,8.287581699346406,0.0784313725490196,35,0,0,3
8327235857,2,0,0,1675,22,7,145,2025-06-08 23:52:13,1,12,7,313,307,108,1,12006,1131,0,12,6776,0,0,0.6666666666666666,3.8686567164179104,0.035820895522388055,35,0,0,1
8327215838,130,1,0,1782,22,7,145,2025-06-08 23:17:03,7,8,5,424,521,115,7,13930,226,0,16,10429,0,0,1.5,3.872053872053872,0.2356902356902357,35,0,0,1
8327008979,128,1,0,2689,22,7,14,2025-06-08 19:17:58,14,12,6,568,637,312,11,25177,2470,0,22,20060,0,0,1.6666666666666667,6.9616957976943095,0.24544440312383783,41,0,0,3
8326941059,2,0,0,1751,22,7,39,2025-06-08 18:21:19,7,10,13,356,445,52,1,18124,147,0,15,9483,0,0,2.0,1.7818389491719018,0.034266133637921185,41,0,0,2
8325877641,130,0,1,1346,22,7,129,2025-06-08 03:44:43,11,3,19,569,602,85,4,14064,4151,0,15,12562,0,0,10.0,3.789004457652303,0.17830609212481427,45,0,0,2
8325845708,4,1,1,2189,22,7,43,2025-06-08 02:59:53,5,8,20,488,681,139,2,21844,8727,0,21,15736,0,0,3.125,3.8099588853357695,0.05481955230698949,43,0,0,2
8324492548,130,1,0,1901,22,7,42,2025-06-07 06:17:53,6,5,4,566,772,228,3,19061,389,0,21,16813,0,0,2.0,7.19621251972646,0.09468700683850605,44,0,0,2
8324447609,2,1,1,3061,22,7,99,2025-06-07 05:20:38,7,13,30,493,824,175,0,24275,6069,0,26,22756,0,0,2.8461538461538463,3.430251551780464,0.0,44,0,0,2
8322996405,2,0,0,2913,22,7,107,2025-06-06 02:38:44,11,14,12,457,636,156,3,25107,848,216,23,18879,1,0,1.6428571428571428,3.213182286302781,0.061791967044284246,44,0,5,1
8319266878,1,1,1,2161,22,7,14,2025-06-03 04:50:54,8,12,22,396,551,38,0,20035,849,75,19,12127,0,0,2.5,1.0550670985654789,0.0,42,0,0,1
8316379476,0,1,1,3865,22,7,14,2025-06-01 03:42:39,15,17,35,659,1013,320,4,56471,2644,0,30,34984,0,0,2.9411764705882355,4.967658473479948,0.06209573091849935,43,0,0,1
8316331121,130,1,0,1884,22,7,53,2025-06-01 02:32:39,8,12,4,600,591,225,6,23844,2784,0,18,15971,0,0,1.0,7.165605095541402,0.1910828025477707,42,0,0,3
8314978621,128,0,1,2232,22,7,93,2025-05-31 05:06:24,15,10,10,0,0,0,0,0,0,0,0,0,0,0,2.5,0.0,0.0,35,0,0,1
8314890761,4,0,0,3016,22,7,34,2025-05-31 02:56:44,0,11,26,0,0,0,0,0,0,0,0,0,0,0,2.3636363636363638,0.0,0.0,34,0,0,1
8313620263,2,0,0,1931,22,7,44,2025-05-30 05:31:06,7,9,8,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,0.0,0.0,43,0,0,3
8313594040,130,1,0,2410,22,7,14,2025-05-30 04:46:10,17,10,9,0,0,0,0,0,0,0,0,0,0,0,2.6,0.0,0.0,35,0,0,1
8312289827,129,1,0,3155,22,7,70,2025-05-29 05:04:47,10,15,14,559,887,375,8,34855,823,0,27,24396,0,0,1.6,7.131537242472266,0.15213946117274169,34,0,0,2
8312251957,2,1,1,1914,22,7,97,2025-05-29 03:58:37,4,4,14,496,538,160,5,11835,4424,125,17,15230,0,0,4.5,5.015673981191223,0.15673981191222572,43,0,0,3
